ID,Pregunta,Tipo_de_Estimulo,Respuesta_Humana,Respuesta_Replicante,Nivel
Q001,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces?,Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q002,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas?,Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q003,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías?,Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q004,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú?,Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q005,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces?,Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q006,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente?,Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q007,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges?,Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q008,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes?",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q009,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces?,Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q010,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas?,Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q011,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo?",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q012,Tú mismo descubres que puedes ser un replicante. ¿Qué haces?,"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q013,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q014,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q015,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q016,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q017,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q018,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q019,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q020,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q021,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q022,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q023,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q024,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q025,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q026,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q027,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q028,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q029,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q030,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q031,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q032,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q033,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q034,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q035,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q036,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q037,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q038,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q039,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q040,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q041,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q042,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q043,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q044,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q045,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q046,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q047,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q048,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q049,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q050,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q051,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q052,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q053,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q054,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q055,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q056,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q057,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q058,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q059,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q060,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q061,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q062,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q063,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q064,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q065,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q066,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q067,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q068,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q069,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q070,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q071,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q072,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q073,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q074,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q075,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q076,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q077,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q078,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q079,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q080,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q081,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q082,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q083,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q084,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q085,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q086,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q087,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q088,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
Q089,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2
Q090,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2
Q091,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3
Q092,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3
Q093,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3
Q094,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4
Q095,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4
Q096,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4
Q097,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1
Q098,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1
Q099,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1
Q100,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2
